Username,Category*,Title*,Subtitle,Date*,Time: Start*,Time: End,Location*,Audience*,Description,Note about repeating dates,Other important info,Sponsors,Tags,Invisible--Will not display on web site (for internal programs/stats use only),Central Event Location,*Required field
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,5/30/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Crafternoon,Kids Create,,1/26/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Crafternoon,Kids Create,,2/23/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Crafternoon,Kids Create,,3/23/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Crafternoon,Kids Create,,4/27/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Crafternoon,Kids Create,,5/25/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Lego Lab,Lego Lab,,1/12/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Lego Lab,Lego Lab,,2/9/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Lego Lab,Lego Lab,,3/9/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Lego Lab,Lego Lab,,4/12/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Lego Lab,Lego Lab,,5/11/23,4:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.-Holiday,,1/29/23,3:00 PM,7:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.,,1/29/23,3:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.,,2/26/23,3:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.,,3/26/23,3:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.,,4/23/23,3:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Movies,Read Write Talk Jr.,,5/28/23,3:00 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Storytimes,Garden Storytime,,1/14/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Storytimes,Garden Storytime,,2/11/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Storytimes,Garden Storytime,,3/11/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Storytimes,Garden Storytime,,4/15/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Storytimes,Garden Storytime,,5/13/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
